nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,player,team_name
ro ROU,DF,28-281,23,17,"1,555",17.3,2,1,3,2,0,0,0,0,0.12,0.06,0.17,0.12,0.17,Matches,Daniel Şerbănică,Unirea-Slobozia
mx MEX,DF,25-309,19,15,"1,399",15.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,Paolo Medina,Unirea-Slobozia
ro ROU,DF,38-010,21,14,"1,228",13.6,1,1,2,1,0,2,5,0,0.07,0.07,0.15,0.07,0.15,Matches,Constantin Toma,Unirea-Slobozia
ro ROU,DF,20-216,16,12,"1,093",12.1,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches,Andrei Cristian Dorobanțu,Unirea-Slobozia
gn GUI,"MF,FW",27-256,20,9,915,10.2,0,2,2,0,0,0,3,0,0,0.2,0.2,0,0.2,Matches,Sékou Camara,Unirea-Slobozia
ro ROU,DF,26-359,15,9,895,9.9,1,0,1,1,0,0,3,1,0.1,0,0.1,0.1,0.1,Matches,Alexandru Ionuț Dinu,Unirea-Slobozia
uy URU,MF,29-311,8,8,711,7.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,Ariel López,Unirea-Slobozia
ua UKR,"FW,MF",31-326,17,7,724,8,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,Dmytro Yusov,Unirea-Slobozia
ro ROU,DF,31-200,9,7,651,7.2,3,0,3,3,0,0,1,0,0.41,0,0.41,0.41,0.41,Matches,Florinel Valentin Ibrian,Unirea-Slobozia
ro ROU,MF,19-308,17,6,628,7,1,1,2,1,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches,Laurențiu Vlăsceanu,Unirea-Slobozia
sk SVK,DF,27-022,7,6,534,5.9,1,0,1,1,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches,Filip Blažek,Unirea-Slobozia
ro ROU,MF,26-045,13,5,527,5.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,Stefan Cristinel Pacionel,Unirea-Slobozia
ro ROU,MF,25-213,11,5,520,5.8,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches,Marius Lupu,Unirea-Slobozia
at AUT,GK,32-294,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Stefan Krell,Unirea-Slobozia
ro ROU,MF,29-345,11,4,399,4.4,0,1,1,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches,Cristian Bărbuț,Unirea-Slobozia
fr FRA,MF,28-306,5,3,346,3.8,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches,Rassambek Akhmatov,Unirea-Slobozia
md MDA,MF,25-232,7,2,261,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Petru Neagu,Unirea-Slobozia
ro ROU,FW,22-261,19,1,286,3.2,1,0,1,1,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches,Filip Ilie,Unirea-Slobozia
sk SVK,FW,31-162,4,1,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Jakub Vojtuš,Unirea-Slobozia
ro ROU,DF,33-272,2,1,80,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Gabriel Lazăr,Unirea-Slobozia
ro ROU,GK,23-184,0,0,,,,,,,,,,,,,,,,Matches,Ștefan Georgescu,Unirea-Slobozia
ro ROU,MF,24-262,0,0,,,,,,,,,,,,,,,,Matches,Mihaita Lemnaru,Unirea-Slobozia
be BEL,DF,28-278,22,22,"1,980",22,0,2,2,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches,Alessandro Ciranni,SCM-Gloria-Buzau
ro ROU,MF,24-018,22,22,"1,787",19.9,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,Constantin Albu,SCM-Gloria-Buzau
cv CPV,MF,26-015,25,20,"1,862",20.7,1,2,3,1,0,0,5,0,0.05,0.1,0.15,0.05,0.15,Matches,David Tavares,SCM-Gloria-Buzau
ro ROU,DF,27-246,26,18,"1,665",18.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,Grigore Ioan Turda,SCM-Gloria-Buzau
br BRA,DF,32-316,22,18,"1,653",18.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,Diego Ferraresso,SCM-Gloria-Buzau
ro ROU,GK,33-237,18,18,"1,620",18,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,David Lazar,SCM-Gloria-Buzau
,DF,32-337,19,18,"1,471",16.3,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches,Mike Cestor,SCM-Gloria-Buzau
ro ROU,"MF,FW",25-061,24,18,"1,440",16,2,1,3,2,0,0,2,0,0.12,0.06,0.19,0.12,0.19,Matches,Alexandru Ișfan,SCM-Gloria-Buzau
ro ROU,"MF,FW",36-042,23,17,"1,539",17.1,5,1,6,3,2,2,3,0,0.29,0.06,0.35,0.18,0.23,Matches,Constantin Budescu,SCM-Gloria-Buzau
pt POR,FW,25-008,22,15,"1,399",15.5,6,0,6,5,1,1,3,0,0.39,0,0.39,0.32,0.32,Matches,Ricardo Matos,SCM-Gloria-Buzau
ro ROU,"MF,FW",23-200,20,14,"1,025",11.4,3,2,5,3,0,0,1,0,0.26,0.18,0.44,0.26,0.44,Matches,Alexandru Jipa,SCM-Gloria-Buzau
ro ROU,"DF,MF",29-340,18,13,"1,183",13.1,0,1,1,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches,Denis Dumitrașcu,SCM-Gloria-Buzau
ro ROU,"MF,FW",25-176,19,13,982,10.9,0,2,2,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches,Ion Gheorghe,SCM-Gloria-Buzau
fr FRA,MF,28-306,16,12,"1,064",11.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,Rassambek Akhmatov,SCM-Gloria-Buzau
es ESP,DF,31-291,13,11,"1,101",12.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,Israel Puerto,SCM-Gloria-Buzau
ro ROU,"DF,MF",30-160,15,10,985,10.9,1,0,1,1,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches,Alin Dobrosavlevici,SCM-Gloria-Buzau
ro ROU,GK,32-311,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Alexandru Greab,SCM-Gloria-Buzau
hr CRO,MF,30-350,15,10,892,9.9,1,0,1,1,0,0,7,0,0.1,0,0.1,0.1,0.1,Matches,Dario Čanađija,SCM-Gloria-Buzau
ro ROU,"MF,FW",21-173,11,9,768,8.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Luca Mihai,SCM-Gloria-Buzau
hr CRO,DF,29-089,9,8,720,8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,Dragan Lovric,SCM-Gloria-Buzau
nl NED,FW,31-250,7,7,600,6.7,3,0,3,3,0,0,3,0,0.45,0,0.45,0.45,0.45,Matches,Kevin Luckassen,SCM-Gloria-Buzau
nl NED,DF,27-146,8,6,533,5.9,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches,Bradley de Nooijer,SCM-Gloria-Buzau
ro ROU,DF,21-079,6,6,495,5.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,Robert Sălceanu,SCM-Gloria-Buzau
ro ROU,"MF,FW",25-199,10,5,410,4.6,1,1,2,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,Matches,Dragoș Tescan,SCM-Gloria-Buzau
md MDA,GK,31-171,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Dorian Railean,SCM-Gloria-Buzau
ro ROU,MF,27-008,4,4,278,3.1,0,1,1,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches,Vlad Prejmerean,SCM-Gloria-Buzau
ro ROU,MF,24-176,6,4,272,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Tudor Călin,SCM-Gloria-Buzau
ro ROU,MF,23-110,8,3,328,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Cristian Dumitru,SCM-Gloria-Buzau
ro ROU,MF,21-255,14,2,471,5.2,0,2,2,0,0,0,1,0,0,0.38,0.38,0,0.38,Matches,Sergiu Pîrvulescu,SCM-Gloria-Buzau
pt POR,MF,27-196,9,2,318,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Vitó Ferreira,SCM-Gloria-Buzau
lv LVA,MF,26-062,6,2,206,2.3,0,1,1,0,0,0,0,0,0,0.44,0.44,0,0.44,Matches,Aleksejs Saveljevs,SCM-Gloria-Buzau
ro ROU,MF,27-093,4,2,154,1.7,0,1,1,0,0,0,0,0,0,0.58,0.58,0,0.58,Matches,Daniel Benzar,SCM-Gloria-Buzau
ro ROU,DF,38-207,2,2,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Dragoș Grigore,SCM-Gloria-Buzau
ro ROU,FW,36-054,11,1,353,3.9,1,0,1,1,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches,Alexandru Stan,SCM-Gloria-Buzau
pe PER,MF,30-318,6,1,232,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Cristian Benavente,SCM-Gloria-Buzau
sn SEN,MF,25-196,4,1,181,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Moha Keita,SCM-Gloria-Buzau
ml MLI,MF,30-002,4,1,131,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Cheick Traoré,SCM-Gloria-Buzau
ro ROU,MF,22-299,1,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Darius Grosu,SCM-Gloria-Buzau
ro ROU,DF,37-069,2,1,46,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Alexandru Dandea,SCM-Gloria-Buzau
ro ROU,DF,23-082,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Cosmin Gladun,SCM-Gloria-Buzau
ro ROU,FW,26-226,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Andreas Mihaiu,SCM-Gloria-Buzau
cm CMR,"FW,MF",28-294,2,0,35,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,James Lea Siliki,SCM-Gloria-Buzau
ro ROU,GK,22-209,0,0,,,,,,,,,,,,,,,,Matches,Dragoș Horeboiu,SCM-Gloria-Buzau
